Genero,Edad,estrato,price_plan,nombre_zone,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
M,26,3,61965.0,N,No Aplica,11,20,1,18-29,Internet-voz,250
H,38,4,63749.0,S,No Aplica,6,19,1,30-39,Internet-voz,100
M,61,5,79049.0,S,Financiero,6,26,0,60-69,Internet-voz,300
M,59,3,56249.0,O,No Aplica,5,28,1,50-59,Internet,100
H,29,1,61965.0,O,No Aplica,12,17,1,18-29,Internet-voz,250
M,53,3,68000.0,N,Falta de Interés,11,27,0,50-59,Internet,80
H,52,1,61965.0,O,No Aplica,11,7,1,50-59,Internet-voz,250
M,61,4,67920.0,S,No Aplica,2,7,1,60-69,Internet,250
H,52,3,69749.0,C,Financiero,10,3,0,50-59,Internet,300
H,28,1,79049.0,O,No Aplica,4,12,1,18-29,Internet-voz,300
H,18,2,68000.0,O,Falta de Interés,12,15,0,18-29,Internet,80
H,19,4,74399.0,O,No Aplica,1,9,1,18-29,Internet-voz,300
H,42,4,66399.0,S,Errores en la Solicitud,1,9,0,40-49,Internet-voz,200
H,28,4,67920.0,N,Financiero,7,4,0,18-29,Internet,250
M,35,1,58565.0,O,Tiempos y Procesos,10,15,0,30-39,Internet,250
M,46,1,63749.0,O,No Aplica,3,13,1,40-49,Internet-voz,100
M,56,2,61965.0,O,Doble Solicitud,9,7,0,50-59,Internet-voz,250
M,50,2,70549.0,N,No Aplica,5,15,1,50-59,Internet-voz,200
H,20,2,68850.0,C,Financiero,12,9,0,18-29,Internet-voz,350
H,65,3,70549.0,N,Tiempos y Procesos,2,7,0,60-69,Internet-voz,200
M,56,1,68850.0,O,No Aplica,7,24,1,50-59,Internet-voz,350
H,62,5,76415.0,N,No Aplica,7,24,1,60-69,Internet-voz,250
H,21,4,70549.0,S,No Aplica,2,23,1,18-29,Internet-voz,200
M,41,2,63749.0,O,Financiero,5,6,0,40-49,Internet-voz,100
H,34,2,61965.0,C,Errores en la Solicitud,12,4,0,30-39,Internet-voz,250
M,40,4,79049.0,S,No Aplica,6,27,1,40-49,Internet-voz,300
H,48,1,68850.0,N,No Aplica,10,8,1,40-49,Internet-voz,350
M,65,5,82365.0,N,No Aplica,8,22,1,60-69,Internet,350
M,40,1,61965.0,O,No Aplica,12,14,1,40-49,Internet-voz,250
H,52,2,61965.0,O,No Aplica,8,22,1,50-59,Internet-voz,250
H,66,2,55120.0,C,No Aplica,10,18,1,60-69,Internet,250
H,25,3,63749.0,N,No Aplica,6,28,1,18-29,Internet-voz,100
M,63,5,70549.0,O,No Aplica,2,19,1,60-69,Internet-voz,200
H,49,2,70549.0,C,No Aplica,2,2,1,40-49,Internet-voz,200
M,23,1,63749.0,O,No Aplica,4,30,1,18-29,Internet-voz,100
H,51,3,70549.0,C,No Aplica,5,29,1,50-59,Internet-voz,200
H,56,1,63749.0,O,Tiempos y Procesos,5,1,0,50-59,Internet-voz,100
H,27,2,68850.0,C,No Aplica,10,16,1,18-29,Internet-voz,350
H,58,4,70549.0,S,No Aplica,2,7,1,50-59,Internet-voz,200
M,51,1,61965.0,O,No Aplica,8,28,1,50-59,Internet-voz,250
H,60,1,61965.0,O,No Aplica,11,2,1,60-69,Internet-voz,250
H,47,4,62250.0,S,No Aplica,8,15,1,40-49,Internet,200
H,47,1,61965.0,S,No Aplica,12,3,1,40-49,Internet-voz,250
M,43,4,69749.0,C,No Aplica,12,12,1,40-49,Internet,300
H,29,4,76415.0,S,Errores en la Solicitud,8,26,0,18-29,Internet-voz,250
M,40,6,70549.0,C,Financiero,4,26,0,40-49,Internet-voz,200
H,35,1,63749.0,N,No Aplica,5,6,1,30-39,Internet-voz,100
M,44,1,63749.0,O,Tiempos y Procesos,6,13,0,40-49,Internet-voz,100
H,66,1,68850.0,O,Financiero,10,29,0,60-69,Internet-voz,350
M,62,3,61965.0,N,No Aplica,11,3,1,60-69,Internet-voz,250
H,43,2,68850.0,C,No Aplica,12,5,1,40-49,Internet-voz,350
M,35,5,79049.0,C,No Aplica,3,15,1,30-39,Internet-voz,300
H,46,2,70549.0,O,Doble Solicitud,2,12,0,40-49,Internet-voz,200
H,27,3,69999.0,N,Otro,1,5,0,18-29,Internet-voz,80
M,42,1,68850.0,C,Financiero,10,25,0,40-49,Internet-voz,350
M,32,4,76415.0,S,Tiempos y Procesos,7,18,0,30-39,Internet-voz,250
M,45,1,59999.0,O,No Aplica,4,6,1,40-49,Internet,100
H,62,3,68850.0,S,No Aplica,8,14,1,60-69,Internet-voz,350
M,21,2,61965.0,S,No Aplica,12,21,1,18-29,Internet-voz,250
M,33,3,68850.0,N,Errores en la Solicitud,7,10,0,30-39,Internet-voz,350
H,63,2,58565.0,N,No Aplica,12,13,1,60-69,Internet,250
H,44,1,61965.0,O,No Aplica,9,4,1,40-49,Internet-voz,250
H,47,1,63749.0,O,No Aplica,6,27,1,40-49,Internet-voz,100
H,29,6,79049.0,C,No Aplica,6,11,1,18-29,Internet-voz,300
M,34,1,61965.0,O,Financiero,8,14,0,30-39,Internet-voz,250
H,31,2,56249.0,O,No Aplica,2,4,1,30-39,Internet,100
H,57,1,68850.0,O,No Aplica,11,11,1,50-59,Internet-voz,350
M,28,2,68850.0,O,Otro,11,16,0,18-29,Internet-voz,350
M,44,2,59999.0,C,Financiero,5,30,0,40-49,Internet-voz,100
H,39,4,79049.0,S,No Aplica,6,24,1,30-39,Internet-voz,300
H,58,1,69749.0,O,No Aplica,4,19,1,50-59,Internet,300
H,46,4,76415.0,S,No Aplica,9,6,1,40-49,Internet-voz,250
H,30,2,61965.0,O,No Aplica,10,10,1,30-39,Internet-voz,250
M,22,5,77520.0,N,No Aplica,9,2,1,18-29,Internet,350
H,39,2,79049.0,S,Financiero,5,27,0,30-39,Internet-voz,300
H,44,2,61965.0,C,No Aplica,10,2,1,40-49,Internet-voz,250
M,31,3,58565.0,N,No Aplica,9,27,1,30-39,Internet,250
M,56,1,61965.0,O,No Aplica,8,25,1,50-59,Internet-voz,250
H,18,1,68850.0,O,No Aplica,9,25,1,18-29,Internet-voz,350
H,37,3,61965.0,O,Financiero,12,5,0,30-39,Internet-voz,250
H,41,3,63749.0,N,No Aplica,2,9,1,40-49,Internet-voz,100
H,27,1,63749.0,O,Financiero,4,17,0,18-29,Internet-voz,100
H,31,2,62800.0,N,Errores en la Solicitud,8,10,0,30-39,Internet,350
M,42,2,68850.0,N,No Aplica,12,11,1,40-49,Internet-voz,350
H,48,2,63749.0,C,No Aplica,4,24,1,40-49,Internet-voz,100
M,56,2,68850.0,O,No Aplica,12,1,1,50-59,Internet-voz,350
M,51,3,61965.0,S,Errores en la Solicitud,8,9,0,50-59,Internet-voz,250
M,34,6,70549.0,C,Errores en la Solicitud,5,4,0,30-39,Internet-voz,200
H,57,1,68850.0,O,No Aplica,12,2,1,50-59,Internet-voz,350
H,59,3,62250.0,N,No Aplica,2,27,1,50-59,Internet,200
H,64,2,70549.0,O,No Aplica,2,21,1,60-69,Internet-voz,200
H,54,2,79049.0,O,Financiero,3,4,0,50-59,Internet-voz,300
H,42,2,63749.0,O,Financiero,6,21,0,40-49,Internet-voz,100
M,37,5,71920.0,S,Errores en la Solicitud,1,21,0,30-39,Internet-voz,250
H,41,2,74999.0,N,Errores en la Solicitud,1,3,0,40-49,Internet-voz,100
H,52,2,68850.0,N,No Aplica,11,7,1,50-59,Internet-voz,350
H,28,4,62250.0,N,Otro,12,22,0,18-29,Internet,200
H,22,2,62800.0,O,No Aplica,2,21,1,18-29,Internet,350
H,40,2,70549.0,C,No Aplica,4,24,1,40-49,Internet-voz,200
H,37,3,64800.0,C,No Aplica,12,29,1,30-39,Internet-voz,350
M,60,2,63749.0,C,No Aplica,1,31,1,60-69,Internet-voz,100
H,60,4,74399.0,S,Otro,8,30,0,60-69,Internet-voz,300
H,24,2,79049.0,C,Otro,2,8,0,18-29,Internet-voz,300
H,45,2,61965.0,N,Financiero,11,23,0,40-49,Internet-voz,250
H,25,4,72165.0,C,No Aplica,12,16,1,18-29,Internet,250
M,51,2,63749.0,O,No Aplica,6,27,1,50-59,Internet-voz,100
H,51,2,63749.0,N,Financiero,4,16,0,50-59,Internet-voz,100
H,59,4,67920.0,N,No Aplica,7,22,1,50-59,Internet,250
H,38,2,68850.0,O,No Aplica,10,9,1,30-39,Internet-voz,350
M,39,5,67920.0,O,No Aplica,10,7,1,30-39,Internet,250
H,31,4,76415.0,S,No Aplica,12,14,1,30-39,Internet-voz,250
H,22,5,77520.0,N,Financiero,9,6,0,18-29,Internet,350
H,65,2,68850.0,O,No Aplica,10,17,1,60-69,Internet-voz,350
M,24,1,70549.0,O,No Aplica,2,8,1,18-29,Internet-voz,200
H,25,2,61965.0,N,Financiero,8,8,0,18-29,Internet-voz,250
H,30,3,68850.0,N,No Aplica,8,29,1,30-39,Internet-voz,350
H,65,2,70549.0,S,No Aplica,3,14,1,60-69,Internet-voz,200
M,24,3,58565.0,C,No Aplica,9,19,1,18-29,Internet,250
H,41,1,61965.0,N,No Aplica,8,14,1,40-49,Internet-voz,250
M,39,3,63749.0,N,No Aplica,1,13,1,30-39,Internet-voz,100
H,29,1,63749.0,O,No Aplica,4,29,1,18-29,Internet-voz,100
M,33,5,79920.0,C,No Aplica,1,22,1,30-39,Internet-voz,350
H,29,2,68850.0,N,No Aplica,11,6,1,18-29,Internet-voz,350
H,46,3,69749.0,C,Errores en la Solicitud,3,26,0,40-49,Internet,300
M,64,1,61965.0,O,No Aplica,9,28,1,60-69,Internet-voz,250
H,50,1,61965.0,O,No Aplica,11,18,1,50-59,Internet-voz,250
M,29,3,63749.0,S,Otro,1,10,0,18-29,Internet-voz,100
H,30,4,77520.0,C,Otro,7,19,0,30-39,Internet,350
H,32,1,61965.0,O,No Aplica,12,5,1,30-39,Internet-voz,250
M,61,3,63749.0,O,Errores en la Solicitud,3,16,0,60-69,Internet-voz,100
M,23,1,68850.0,S,No Aplica,11,19,1,18-29,Internet-voz,350
H,43,1,79049.0,O,No Aplica,3,6,1,40-49,Internet-voz,300
H,48,2,61965.0,C,No Aplica,11,26,1,40-49,Internet-voz,250
M,64,4,74999.0,N,No Aplica,1,2,1,60-69,Internet-voz,100
H,34,1,61965.0,O,No Aplica,12,24,1,30-39,Internet-voz,250
H,19,3,68850.0,S,No Aplica,8,13,1,18-29,Internet-voz,350
H,39,3,56249.0,S,Errores en la Solicitud,4,24,0,30-39,Internet,100
H,50,3,69749.0,O,Errores en la Solicitud,6,22,0,50-59,Internet,300
H,33,3,79049.0,N,Tiempos y Procesos,5,2,0,30-39,Internet-voz,300
M,62,2,61965.0,S,No Aplica,8,24,1,60-69,Internet-voz,250
H,55,3,61965.0,S,No Aplica,9,4,1,50-59,Internet-voz,250
H,39,3,63749.0,S,No Aplica,6,22,1,30-39,Internet-voz,100
M,51,2,63749.0,N,Financiero,3,18,0,50-59,Internet-voz,100
H,21,3,63749.0,C,No Aplica,3,26,1,18-29,Internet-voz,100
M,20,2,63749.0,O,No Aplica,4,19,1,18-29,Internet-voz,100
H,30,2,56249.0,O,No Aplica,6,19,1,30-39,Internet,100
H,28,2,59999.0,C,No Aplica,6,12,1,18-29,Internet-voz,100
H,58,5,62250.0,N,No Aplica,2,22,1,50-59,Internet,200
H,66,2,58565.0,C,No Aplica,9,24,1,60-69,Internet,250
H,62,2,61965.0,S,Financiero,9,13,0,60-69,Internet-voz,250
H,37,4,59999.0,S,No Aplica,3,4,1,30-39,Internet,100
H,25,2,63749.0,N,No Aplica,6,14,1,18-29,Internet-voz,100
H,50,4,63749.0,S,Otro,6,21,0,50-59,Internet-voz,100
H,56,3,74399.0,S,No Aplica,4,11,1,50-59,Internet-voz,300
M,55,1,63749.0,O,No Aplica,1,17,1,50-59,Internet-voz,100
M,28,1,58320.0,C,No Aplica,8,5,1,18-29,Internet-voz,250
H,65,3,61965.0,S,No Aplica,8,14,1,60-69,Internet-voz,250
H,57,1,82999.0,C,Financiero,4,4,0,50-59,Internet-voz,200
H,60,3,66725.0,S,No Aplica,9,5,1,60-69,Internet,350
H,40,3,62800.0,N,No Aplica,1,22,1,40-49,Internet,350
H,65,3,68850.0,N,No Aplica,7,10,1,60-69,Internet-voz,350
H,56,5,79049.0,C,No Aplica,1,22,1,50-59,Internet-voz,300
H,26,4,79049.0,O,Otro,1,11,0,18-29,Internet-voz,300
H,56,3,81000.0,N,No Aplica,1,7,1,50-59,Internet-voz,350
H,46,4,74399.0,S,No Aplica,6,28,1,40-49,Internet-voz,300
M,43,2,68850.0,S,No Aplica,9,19,1,40-49,Internet-voz,350
H,55,3,55120.0,S,No Aplica,10,21,1,50-59,Internet,250
M,56,2,63749.0,S,No Aplica,3,12,1,50-59,Internet-voz,100
H,55,5,62250.0,S,Falta de Interés,6,28,0,50-59,Internet,200
H,36,1,70549.0,N,Otro,1,26,0,30-39,Internet-voz,200
H,51,3,79049.0,N,No Aplica,5,17,1,50-59,Internet-voz,300
H,64,3,62250.0,S,No Aplica,7,15,1,60-69,Internet,200
H,50,1,63749.0,O,Financiero,6,5,0,50-59,Internet-voz,100
H,36,1,56249.0,O,Errores en la Solicitud,6,27,0,30-39,Internet,100
H,33,1,61965.0,N,No Aplica,10,21,1,30-39,Internet-voz,250
M,28,2,63749.0,N,No Aplica,4,9,1,18-29,Internet-voz,100
M,27,4,70549.0,N,No Aplica,3,22,1,18-29,Internet-voz,200
M,41,4,79920.0,S,No Aplica,9,9,1,40-49,Internet-voz,350
M,53,1,61965.0,O,No Aplica,12,23,1,50-59,Internet-voz,250
M,41,1,63749.0,O,No Aplica,3,13,1,40-49,Internet-voz,100
H,64,3,68850.0,N,No Aplica,12,12,1,60-69,Internet-voz,350
M,22,1,61965.0,O,No Aplica,12,12,1,18-29,Internet-voz,250
H,63,3,63749.0,O,Otro,12,29,0,60-69,Internet-voz,100
H,40,2,63749.0,O,No Aplica,3,6,1,40-49,Internet-voz,100
H,62,3,55120.0,C,Otro,11,8,0,60-69,Internet,250
H,18,1,63749.0,O,No Aplica,5,15,1,18-29,Internet-voz,100
M,65,3,63749.0,N,No Aplica,6,21,1,60-69,Internet-voz,100
H,32,5,59999.0,S,Financiero,4,30,0,30-39,Internet-voz,100
H,44,2,70549.0,O,No Aplica,6,18,1,40-49,Internet-voz,200
H,32,3,79049.0,C,No Aplica,6,27,1,30-39,Internet-voz,300
H,49,1,63749.0,O,Errores en la Solicitud,4,11,0,40-49,Internet-voz,100
H,28,2,61965.0,C,No Aplica,9,19,1,18-29,Internet-voz,250
H,42,3,61965.0,N,No Aplica,9,16,1,40-49,Internet-voz,250
H,47,1,63749.0,S,Errores en la Solicitud,4,27,0,40-49,Internet-voz,100
M,20,1,63749.0,O,No Aplica,2,21,1,18-29,Internet-voz,100
M,59,1,63749.0,O,Tiempos y Procesos,6,6,0,50-59,Internet-voz,100
H,26,2,63749.0,S,No Aplica,3,11,1,18-29,Internet-voz,100
M,34,1,63749.0,O,Tiempos y Procesos,4,4,0,30-39,Internet-voz,100
H,39,1,63749.0,O,No Aplica,1,18,1,30-39,Internet-voz,100
H,62,3,63749.0,C,Tiempos y Procesos,3,6,0,60-69,Internet-voz,100
H,40,2,68850.0,O,No Aplica,8,9,1,40-49,Internet-voz,350
H,55,2,61965.0,O,No Aplica,11,7,1,50-59,Internet-voz,250
H,57,2,74399.0,O,No Aplica,2,1,1,50-59,Internet-voz,300
M,52,2,63749.0,N,Errores en la Solicitud,6,27,0,50-59,Internet-voz,100
M,55,4,70549.0,S,No Aplica,1,27,1,50-59,Internet-voz,200
H,42,5,82365.0,S,No Aplica,7,24,1,40-49,Internet,350
H,19,2,58565.0,S,No Aplica,8,21,1,18-29,Internet,250
M,63,2,61965.0,S,No Aplica,10,16,1,60-69,Internet-voz,250
M,57,3,68850.0,C,No Aplica,8,10,1,50-59,Internet-voz,350
H,49,3,79049.0,S,No Aplica,6,18,1,40-49,Internet-voz,300
H,54,1,61965.0,O,No Aplica,10,18,1,50-59,Internet-voz,250
M,26,1,63749.0,O,No Aplica,2,12,1,18-29,Internet-voz,100
H,52,3,69749.0,N,No Aplica,4,30,1,50-59,Internet,300
M,51,3,61965.0,S,Errores en la Solicitud,10,5,0,50-59,Internet-voz,250
M,39,5,70549.0,C,No Aplica,1,23,1,30-39,Internet-voz,200
H,43,6,72165.0,S,No Aplica,8,30,1,40-49,Internet,250
M,51,3,61965.0,O,No Aplica,11,27,1,50-59,Internet-voz,250
M,19,3,61965.0,N,No Aplica,7,22,1,18-29,Internet-voz,250
H,50,2,59999.0,N,No Aplica,5,26,1,50-59,Internet-voz,100
M,59,5,70549.0,N,No Aplica,2,22,1,50-59,Internet-voz,200
H,53,1,63749.0,O,Tiempos y Procesos,6,25,0,50-59,Internet-voz,100
H,29,3,59999.0,S,No Aplica,4,22,1,18-29,Internet-voz,100
M,53,3,68850.0,N,No Aplica,7,3,1,50-59,Internet-voz,350
M,52,2,63749.0,N,Errores en la Solicitud,3,20,0,50-59,Internet-voz,100
H,64,2,68850.0,C,Tiempos y Procesos,7,19,0,60-69,Internet-voz,350
M,40,1,62800.0,O,Errores en la Solicitud,7,27,0,40-49,Internet,350
H,18,2,69749.0,N,Otro,1,9,0,18-29,Internet,300
H,63,2,62800.0,S,No Aplica,1,13,1,60-69,Internet,350
H,18,3,79049.0,O,No Aplica,6,20,1,18-29,Internet-voz,300
H,37,1,61965.0,O,No Aplica,12,4,1,30-39,Internet-voz,250
H,44,3,63749.0,N,No Aplica,5,13,1,40-49,Internet-voz,100
H,38,1,61965.0,O,No Aplica,8,6,1,30-39,Internet-voz,250
M,53,4,70549.0,C,Financiero,4,19,0,50-59,Internet-voz,200
M,32,2,79049.0,S,No Aplica,4,19,1,30-39,Internet-voz,300
H,45,2,68850.0,N,Financiero,7,17,0,40-49,Internet-voz,350
M,65,3,69749.0,C,No Aplica,10,17,1,60-69,Internet,300
H,46,2,61965.0,S,No Aplica,7,8,1,40-49,Internet-voz,250
M,44,4,76415.0,S,Tiempos y Procesos,8,19,0,40-49,Internet-voz,250
M,50,3,63749.0,S,No Aplica,2,24,1,50-59,Internet-voz,100
M,60,3,70549.0,N,No Aplica,6,16,1,60-69,Internet-voz,200
H,26,3,63749.0,N,Financiero,5,28,0,18-29,Internet-voz,100
M,24,1,79049.0,C,No Aplica,4,5,1,18-29,Internet-voz,300
M,40,3,68850.0,S,No Aplica,10,24,1,40-49,Internet-voz,350
M,65,4,62250.0,S,No Aplica,5,7,1,60-69,Internet,200
M,44,1,70549.0,O,No Aplica,5,31,1,40-49,Internet-voz,200
H,25,2,79049.0,O,Errores en la Solicitud,5,2,0,18-29,Internet-voz,300
H,31,3,69999.0,O,Financiero,8,3,0,30-39,Internet-voz,80
H,20,3,63749.0,S,No Aplica,2,7,1,18-29,Internet-voz,100
M,24,2,56249.0,C,No Aplica,11,4,1,18-29,Internet,100
H,50,1,58565.0,O,No Aplica,7,3,1,50-59,Internet,250
H,23,4,77520.0,C,No Aplica,1,21,1,18-29,Internet,350
H,21,3,62250.0,S,Falta de Interés,11,9,0,18-29,Internet,200
H,51,1,70549.0,O,No Aplica,5,22,1,50-59,Internet-voz,200
M,43,3,68850.0,N,Tiempos y Procesos,9,11,0,40-49,Internet-voz,350
M,56,2,61965.0,N,No Aplica,10,19,1,50-59,Internet-voz,250
H,37,1,63749.0,O,Financiero,6,21,0,30-39,Internet-voz,100
H,51,1,68850.0,N,No Aplica,10,18,1,50-59,Internet-voz,350
M,65,2,66399.0,S,No Aplica,1,24,1,60-69,Internet-voz,200
M,47,1,61965.0,O,No Aplica,10,11,1,40-49,Internet-voz,250
H,50,2,56249.0,C,No Aplica,2,19,1,50-59,Internet,100
H,40,5,70549.0,S,Otro,2,3,0,40-49,Internet-voz,200
H,23,2,69749.0,N,No Aplica,6,19,1,18-29,Internet,300
M,40,2,68850.0,S,No Aplica,9,12,1,40-49,Internet-voz,350
M,34,3,68850.0,N,Errores en la Solicitud,10,7,0,30-39,Internet-voz,350
M,29,3,58320.0,C,Financiero,9,13,0,18-29,Internet-voz,250
H,27,2,55120.0,O,No Aplica,11,26,1,18-29,Internet,250
M,35,2,61965.0,N,Financiero,12,7,0,30-39,Internet-voz,250
H,34,1,63749.0,O,No Aplica,6,27,1,30-39,Internet-voz,100
H,59,3,56249.0,S,Errores en la Solicitud,12,11,0,50-59,Internet,100
M,32,3,63749.0,N,Errores en la Solicitud,3,21,0,30-39,Internet-voz,100
H,45,2,63749.0,C,No Aplica,1,13,1,40-49,Internet-voz,100
M,38,1,56249.0,O,Falta de Interés,12,27,0,30-39,Internet,100
H,29,5,79049.0,S,Tiempos y Procesos,1,17,0,18-29,Internet-voz,300
H,43,3,62800.0,S,No Aplica,12,6,1,40-49,Internet,350
M,44,2,66399.0,O,Otro,10,5,0,40-49,Internet-voz,200
H,38,3,70549.0,S,Falta de Interés,6,26,0,30-39,Internet-voz,200
H,32,6,70549.0,C,No Aplica,3,8,1,30-39,Internet-voz,200
M,42,2,63749.0,S,Financiero,6,1,0,40-49,Internet-voz,100
H,43,1,61965.0,O,Financiero,9,11,0,40-49,Internet-voz,250
M,44,2,68850.0,S,Errores en la Solicitud,8,15,0,40-49,Internet-voz,350
H,54,2,62250.0,O,Errores en la Solicitud,10,4,0,50-59,Internet,200
M,35,4,56249.0,S,No Aplica,6,4,1,30-39,Internet,100
H,50,4,77520.0,S,No Aplica,10,21,1,50-59,Internet,350
H,46,1,70549.0,O,No Aplica,5,3,1,40-49,Internet-voz,200
H,28,2,68850.0,S,No Aplica,9,1,1,18-29,Internet-voz,350
H,25,2,69749.0,S,No Aplica,10,10,1,18-29,Internet,300
H,57,3,55120.0,S,No Aplica,11,1,1,50-59,Internet,250
H,33,3,56249.0,O,No Aplica,8,1,1,30-39,Internet,100
H,30,3,69749.0,O,No Aplica,8,28,1,30-39,Internet,300
M,40,2,62250.0,C,No Aplica,4,4,1,40-49,Internet,200
H,48,2,68850.0,N,No Aplica,12,26,1,40-49,Internet-voz,350
H,47,1,63749.0,N,No Aplica,2,27,1,40-49,Internet-voz,100
H,44,2,56249.0,O,No Aplica,8,17,1,40-49,Internet,100
H,37,4,79049.0,N,Tiempos y Procesos,3,26,0,30-39,Internet-voz,300
M,57,3,59999.0,S,Financiero,6,17,0,50-59,Internet-voz,100
M,34,3,68850.0,C,Financiero,9,25,0,30-39,Internet-voz,350
H,50,2,59999.0,N,No Aplica,5,2,1,50-59,Internet-voz,100
H,35,1,70549.0,C,No Aplica,5,10,1,30-39,Internet-voz,200
H,46,3,61965.0,N,No Aplica,8,28,1,40-49,Internet-voz,250
H,50,4,77520.0,S,No Aplica,11,25,1,50-59,Internet,350
H,23,5,76415.0,N,No Aplica,9,24,1,18-29,Internet-voz,250
H,39,3,69749.0,S,No Aplica,2,2,1,30-39,Internet,300
H,52,1,61965.0,O,Tiempos y Procesos,8,25,0,50-59,Internet-voz,250
H,59,5,69749.0,C,No Aplica,2,27,1,50-59,Internet,300
M,26,3,79049.0,N,No Aplica,4,5,1,18-29,Internet-voz,300
M,53,3,61965.0,N,No Aplica,10,27,1,50-59,Internet-voz,250
H,56,3,68850.0,O,No Aplica,7,4,1,50-59,Internet-voz,350
H,20,3,63749.0,S,Tiempos y Procesos,6,13,0,18-29,Internet-voz,100
H,55,3,63749.0,N,No Aplica,6,19,1,50-59,Internet-voz,100
H,27,2,68850.0,O,No Aplica,11,1,1,18-29,Internet-voz,350
H,43,4,76415.0,S,Financiero,7,30,0,40-49,Internet-voz,250
M,24,2,63749.0,O,No Aplica,2,29,1,18-29,Internet-voz,100
M,23,1,61965.0,O,No Aplica,8,22,1,18-29,Internet-voz,250
M,32,1,61965.0,O,No Aplica,12,19,1,30-39,Internet-voz,250
M,29,2,79049.0,N,No Aplica,5,8,1,18-29,Internet-voz,300
M,51,2,61965.0,S,No Aplica,9,6,1,50-59,Internet-voz,250
H,37,3,55120.0,S,No Aplica,1,23,1,30-39,Internet,250
H,27,1,63749.0,O,Errores en la Solicitud,2,13,0,18-29,Internet-voz,100
H,44,1,68850.0,O,No Aplica,11,21,1,40-49,Internet-voz,350
H,32,1,61965.0,O,No Aplica,11,11,1,30-39,Internet-voz,250
M,24,1,74399.0,O,No Aplica,12,13,1,18-29,Internet-voz,300
M,21,1,61965.0,O,No Aplica,12,12,1,18-29,Internet-voz,250
H,37,1,68850.0,O,No Aplica,11,18,1,30-39,Internet-voz,350
H,42,2,68850.0,N,No Aplica,9,19,1,40-49,Internet-voz,350
H,52,4,82999.0,S,Tiempos y Procesos,4,4,0,50-59,Internet-voz,200
H,38,3,68850.0,S,No Aplica,7,8,1,30-39,Internet-voz,350
H,25,3,62250.0,C,Financiero,10,30,0,18-29,Internet,200
H,51,3,64800.0,N,Financiero,7,5,0,50-59,Internet-voz,350
M,65,2,79049.0,S,No Aplica,3,21,1,60-69,Internet-voz,300
H,26,1,62800.0,O,No Aplica,11,27,1,18-29,Internet,350
H,22,3,68850.0,C,No Aplica,9,21,1,18-29,Internet-voz,350
H,23,2,70549.0,S,No Aplica,6,18,1,18-29,Internet-voz,200
H,61,2,61965.0,O,No Aplica,8,20,1,60-69,Internet-voz,250
M,43,2,63749.0,N,Tiempos y Procesos,3,27,0,40-49,Internet-voz,100
M,25,2,66725.0,S,No Aplica,11,12,1,18-29,Internet,350
M,42,3,63749.0,C,Tiempos y Procesos,6,13,0,40-49,Internet-voz,100
M,34,1,61965.0,O,No Aplica,8,23,1,30-39,Internet-voz,250
M,26,2,63749.0,N,Financiero,1,26,0,18-29,Internet-voz,100
H,25,5,76415.0,S,No Aplica,8,21,1,18-29,Internet-voz,250
M,48,2,61965.0,N,No Aplica,8,17,1,40-49,Internet-voz,250
H,40,1,63749.0,O,No Aplica,6,5,1,40-49,Internet-voz,100
H,33,4,74999.0,S,Financiero,4,2,0,30-39,Internet-voz,100
M,42,1,59999.0,O,Falta de Interés,12,2,0,40-49,Internet-voz,100
H,32,1,63749.0,O,Financiero,5,7,0,30-39,Internet-voz,100
H,49,2,64800.0,C,No Aplica,9,24,1,40-49,Internet-voz,350
M,34,4,82365.0,N,No Aplica,10,1,1,30-39,Internet,350
H,57,2,61965.0,N,Otro,7,5,0,50-59,Internet-voz,250
H,33,1,63749.0,O,No Aplica,1,26,1,30-39,Internet-voz,100
M,37,3,69749.0,S,No Aplica,1,22,1,30-39,Internet,300
H,24,1,61965.0,O,No Aplica,7,13,1,18-29,Internet-voz,250
H,23,5,79049.0,N,Tiempos y Procesos,3,21,0,18-29,Internet-voz,300
M,53,4,79049.0,S,No Aplica,6,19,1,50-59,Internet-voz,300
H,58,2,70549.0,C,Financiero,4,23,0,50-59,Internet-voz,200
M,43,6,69749.0,S,Financiero,6,18,0,40-49,Internet,300
H,41,2,70549.0,S,Tiempos y Procesos,2,22,0,40-49,Internet-voz,200
H,33,2,62800.0,N,No Aplica,9,28,1,30-39,Internet,350
M,19,2,63749.0,N,Otro,1,10,0,18-29,Internet-voz,100
M,53,1,79049.0,O,Tiempos y Procesos,5,28,0,50-59,Internet-voz,300
M,19,2,61965.0,C,Tiempos y Procesos,7,25,0,18-29,Internet-voz,250
M,51,2,63749.0,N,Financiero,6,4,0,50-59,Internet-voz,100
H,37,2,63749.0,C,No Aplica,5,4,1,30-39,Internet-voz,100
H,40,3,61965.0,C,Tiempos y Procesos,10,10,0,40-49,Internet-voz,250
M,66,3,55120.0,S,No Aplica,2,22,1,60-69,Internet,250
M,29,3,68850.0,C,No Aplica,11,13,1,18-29,Internet-voz,350
H,43,3,62800.0,C,Financiero,7,9,0,40-49,Internet,350
H,43,3,68850.0,C,No Aplica,10,31,1,40-49,Internet-voz,350
M,52,1,64800.0,O,Financiero,7,5,0,50-59,Internet-voz,350
